Name	Set	ImageFile	Rarity	Unique	CollectorsInfo	Type	Cost	Mission/DilemmaType	Span	Points	Quadrant	Affiliation	Icons	Staff	Keywords	Class	Species	Skills	Integrity/Range	Cunning/Weapons	Strength/Shields	Text
Whisper in the Dark	R2	ST2E-EN04030	R	N	4R030	Dilemma	8	P														For each event your opponent commands in his or her core, this dilemma is cost -1. Unless you have 2 Geology, 2 Physics, and Cunning>38 or 2 Honor, 2 Officer, and Transporters, randomly select three personnel to be killed.
The Sword of Kahless	R2	ST2E-EN04034	R	Y	4R034	Equipment	2								Artifact. Hand Weapon.							Each of your Klingons and Honor personnel present is Integrity -2, Cunning +1, and Strength +2.
At What Cost?	R2	ST2E-EN04040	R	N	4R040	Event	0															Lose 5 points to spend 7 additional counters this turn. Destroy this event.
Endangered	R2	ST2E-EN04049	R	N	4R049	Event	0															Plays in your core. When the player on your right begins a mission attempt, you may lose 5 points and destroy this event to draw three extra dilemmas and spend three extra in total cost on dilemmas.
Far-Seeing Eyes	R2	ST2E-EN04051	R	N	4R051	Event	0															To play this event, you must command three [Rom] personnel. Plays in your core. At the start of each of your turns, you may lose 5 points and destroy this event to examine your opponent's deck and remove two non-ship cards from the game. He or she shuffles and replaces his or her deck.
Field Studies	R2	ST2E-EN04052	R	N	4R052	Event	0															To play this event, you must command three [Fed] personnel at your space mission. Lose 5 points to revel the top two cards of an opponent's dilemma pile. Place face up beneath that mission any dilemmas that could be faced there. Replace the remaining cards in any order. Destroy this event.
Running a Tight Ship	R2	ST2E-EN04071ab	R	Y	4R071	Event	3															Plays in your core. When you attempt a space mission using a ship with its Commander aboard, subtract one from the number of dilemmas your opponent may draw and one from the total cost he or she may spend on dilemmas.
Storage Compartment	R2	ST2E-EN04074	R	Y	4R074	Event	2															Plays in your core. When you have chosen dilemmas, you may place one unused planet dilemma or space dilemma on this event instead of beneath your dilemma pile. When you have drawn dilemmas, you may take any dilemmas from this event and add them to those drawn.
The Perfect Tool	R2	ST2E-EN04078	R	Y	4R078	Event	2															Plays in your core. During each of your Play and Draw Cards segments, you may spend 1 additional counter for each personnel you command but do not own.
Brainwashing	R2	ST2E-EN04086	R	N	4R086	Interrupt	0								Capture.							To play this interrupt, you must command three [Rom] personnel. Order - Lose 5 points to reveal an opponent's hand. Choose a personnel that you do not command and place him or her on your headquarters mission. (You now command that personnel.)
Knowledge and Experience	R2	ST2E-EN04089a	R	N	4R089	Interrupt	0															To play this interrupt, you must command three [Bor] personnel. When a personnel you command but do not own is facing a dilemma, lose 5 points to prevent and overcome that dilemma. Remove this interrupt from the game.
Outlining the Stakes	R2	ST2E-EN04094	R	N	4R094	Interrupt	0															To play this interrupt, you must command three [Rom] personnel. When you are checking if your personnel can meet a mission's requirements, lose 5 points to subtract a skill from those requirements.
The Rite of Emergence	R2	ST2E-EN04098	R	N	4R098	Interrupt	0															When your Host is attempting a mission, discard two random cards from hand to make him or her gain Treachery and a skill of your choice until the end of this turn.
Krim Thoughtful Tactician	R2	ST2E-EN04104	R	Y	4R104	Personnel	2					Bajoran	[Cmd][DS9]		Commander: Talnot. General.		Bajoran	Astrometrics Honor Leadership Officer	6	6	6	Order - Lose 5 points and stop this personnel to name a dilemma. Choose an opponent to take each copy of that dilemma from his or her dilemma pile, place them beneath your completed mission, then shuffle and replace his or her dilemma pile face down.
Founder Architect	R2	ST2E-EN04126	R	N	4R126	Personnel	2					Dominion			Founder. Shape-shifter.		Changeling	Astrometrics Law	5	5	5	While this personnel is attempting a mission, he is attributes +1 for each event in each player's core (limit +5).
Guinan Listener	R2	ST2E-EN04138	R	Y	4R138	Personnel	3					Federation	[TNG]				El-Aurian	Anthropology Exobiology 2 Honor	8	7	4	When you play this personnel, each player scores 5 points.
William T. Riker Exchange Officer	R2	ST2E-EN04155	R	Y	4R155	Personnel	2					Klingon	[Cmd]				Human	Anthropology Leadership Navigation Officer	6	6	6	While this personnel is facing a dilemma, you may discard a card from hand to make him gain a skill from your Klingon present until the end of that mission attempt.
Crosis Fanatical Lieutenant	R2	ST2E-EN04157	R	Y	4R157	Personnel	2					Non-Aligned	[Cmd]				Borg	Exobiology Officer Programming Security Treachery	3	6	6	For each event you command beyond the number of events an opponent of your choice commands, this personnel is attributes +1 (limit +6).
Data Loyal Brother	R2	ST2E-EN04158	R	Y	4R158	Personnel	1					Non-Aligned	[Cmd]				Android	Astrometrics Biology Engineer 2 Programming Treachery	3	9	10	At the start of each of your turns, you must discard an event from hand or stop this personnel.
Lore The One	R2	ST2E-EN04161	R	Y	4R161	Personnel	6					Non-Aligned	[Cmd]				Android	Diplomacy Engineer Leadership Programming Security 2 Treachery	1	10	10	While this personnel is facing a dilemma, he cannot be stopped.
B'Etor Romulan Conspirator	R2	ST2E-EN04165	R	Y	4R165	Personnel	2					Romulan	[Cmd]				Klingon	Diplomacy Physics Programming Science 2 Treachery	2	6	6	When this personnel is about to be stopped by a dilemma, you may unstop a stopped [Rom] personnel present. That personnel joins this mission attempt.
Koval Chairman of the Tal Shiar	R2	ST2E-EN04168	R	Y	4R168	Personnel	3					Romulan	[Cmd]				Romulan	Biology Exobiology Intelligence Leadership Security Treachery	3	7	5	While an opponent commands more headquarters missions than you, this personnel cannot be stopped by dilemmas.
Lursa Romulan Conspirator	R2	ST2E-EN04169	R	Y	4R169	Personnel	2					Romulan	[Cmd]				Klingon	Anthropology Engineer Law 2 Treachery	2	6	7	When you other [Rom] personnel present is about to be stopped by a dilemma, this personnel may gain one of his or her skills until the end of that mission attempt. You may do this only once each turn.
